RiskSegment,CustomerCount,AverageChurnProbability,ActualChurnRate,TotalMonetaryValue,AverageMonetaryValue,AverageRecencyDays,AveragePurchaseFrequency
Low,1245,9.963271,6.987951807228916,8710927.308,6996.728761445784,36.25339078536368,13.377510040160642
Medium,1245,38.90101,36.78714859437751,1871497.852,1503.2111261044176,109.73452699687641,4.092369477911647
High,1244,61.607925,64.30868167202573,970061.372,779.7920996784566,198.70522061450518,2.329581993569132
Critical,1245,82.39214,84.8995983935743,530668.423,426.239697188755,347.2816426818385,1.4
