,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
Logistic Regression,0.7269076305220884,0.7088353413654619,0.7354166666666667,0.721881390593047,0.7988129844961241,0.7660497115667895
Random Forest,0.7118473895582329,0.6918489065606361,0.725,0.7080366225839267,0.792829457364341,0.7541623707402098
XGBoost,0.7198795180722891,0.6982248520710059,0.7375,0.7173252279635258,0.7931484173126615,0.7492837268589754
Tuned XGBoost,0.7309236947791165,0.7030651340996169,0.7645833333333333,0.7325349301397206,0.8028766957364342,0.7677040226933937
